SupplierId|SupplierName|GivenName|Surname|Role|ContactAddress|TelephoneNumber|Portfolios|DisputeTypes|AccessToFraudRelatedDisputes
48|Poodle Bank|Access|Management|SupplierSuperUser|tu.optimus.test+PoodleBank.Access.Management@gmail.com||||yes
132|German Shepherd Bank|John|One|SupplierSuperUser|tu.optimus.test+GermanShepherdBank.John.One@gmail.com|0121 251 7757|||yes
132|German Shepherd Bank|Jane|Two|PortalUser|tu.optimus.test+GermanShepherdBank.Jane.Two@gmail.com|||Share,MODA,Alias Link,Address Link,Search|yes
150|Collie Group|John|Three|SupplierSuperUser|tu.optimus.test+CollieGroup.John.Three@gmail.com|01754 486819|||yes
192|Beagle Ltd|Jane|Four|SupplierSuperUser|tu.optimus.test+BeagleLtd.Jane.Four@gmail.com||||yes
193|Great Dane Mortgages|John|Five|SupplierSuperUser|tu.optimus.test+GreatDaneMortgages.John.Five@gmail.com|01902 508284|||no
214|Jack Russel Plc|Jane|Six|SupplierSuperUser|tu.optimus.test+JackRusselPlc.Jane.Six@gmail.com|0191 279 5077|||yes
214|Jack Russel Plc|John|Seven|SupplierSuperUser|tu.optimus.test+JackRusselPlc.Jane.Seven@gmail.com|0191 279 5078|||yes
214|Jack Russel Plc|Jane|Eight|PortalUser|tu.optimus.test+JackRusselPlc.Jane.Eight@gmail.com|0191 279 5079||Share,MODA,Alias Link,Address Link,Search|no
214|Jack Russel Plc|John|Nine|PortalManager|tu.optimus.test+JackRusselPlc.Jane.Nine@gmail.com|0191 279 5080||Share,MODA,Alias Link,Address Link,Search|yes
214|Jack Russel Plc|John|Ten|PortalUser|tu.optimus.test+JackRusselPlc.Jane.Ten@gmail.com|0191 279 5081||Share,MODA,Alias Link,Address Link,Search|yes
214|Jack Russel Plc|John|Eleven|PortalUser|tu.optimus.test+JackRusselPlc.Jane.Eleven@gmail.com|0191 279 5082|66,112|Share,MODA,Alias Link,Address Link,Search|yes
