Member_PortId,FileDate,CreateLoadId,CreateSourceId,LastUpdateLoadId,LastUpdateSourceId,AccountNumber,AccountNumberStem,AccountNumberJointIdentifier,RolloverInd,CreditExtensionInd,AccountTypeId,StartDate,EndDate,BalanceAmount,CreditLimitAmount,RepaymentFrequencyId,NextPaymentAmount,AccountStatusId,OverduePayments,ChangeToPaymentTermsInd,Title,Forename,Othername,Surname,NameSuffix,DateOfBirth,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,ProcessId,ResidenceId,SupplierName,SupplierTypeCode,SupplierTypeDescription,AccountId
61,2018-06-27 00:00:00.000,1444,1447,1444,1444,ABCD0123456789012 1,ABCD0123456789012,0,1,1,1,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,100,10000,3,10,2,1,1,MR,RAPHAEL,NULL,TURTLE,NULL,2001-07-04 00:00:00.000,5 CHUCKLE BROS AVENUE,TEST TOWN,NULL,NULL,X9 9AA,5925834,255180124,Test Data AgFin,AF,Agricultural Finance,5
61,2018-06-27 00:00:00.000,1777,1777,1777,1777,ABCD1123456789012 1,ABCD1123456789012,0,1,1,2,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,200,10000,3,20,2,1,1,MR,LEONARDO,NULL,TURTLE,NULL,2001-11-24 00:00:00.000,6 CHUCKLE BROS AVENUE,TEST TOWN,NULL,NULL,X9 9AA,5734168,255180123,Test Data BkFin,BF,Bank Finance,6
61,2018-06-27 00:00:00.000,1333,1333,1333,1333,ABCD2123456789012 1,ABCD2123456789012,0,1,0,3,2018-05-27 00:00:00.000,NULL,300,3000,3,30,1,0,0,MR,DONATELLO,NULL,TURTLE,NULL,2001-11-24 00:00:00.000,7 CHUCKLE BROS AVENUE,TEST TOWN,NULL,NULL,X9 9AA,5925834,255180122,Test Data Bank,BK,Bank,7
61,2018-06-27 00:00:00.000,3777,3777,3777,3777,ABCDH123456789012 1,ABCDH123456789012,0,1,1,2,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,200,10000,3,20,2,1,1,MR,LEONARDO,NULL,TURTLE,NULL,2001-11-24 00:00:00.000,6 CHUCKLE BROS AVENUE,TEST TOWN,NULL,NULL,X9 9AA,5734168,255180123,Test Data BkFin,BF,Bank Finance,8
61,2018-06-27 00:00:00.000,1234,2345,1234,2345,ABCDI123456789012 1,ABCDI123456789012,1,0,0,1,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,100,1000,3,5,1,0,0,MRS,COLA,NULL,CUBE,NULL,1974-01-02 00:00:00.000,107  SUGAR TERRACE,TEST TOWN,NULL,NULL,X9 2TR,5734168,152972193,Test Data EuroDirect,ED,EuroDirect,10
61,2018-06-27 00:00:00.000,1235,2346,1235,2346,ABCDJ123456789012 1,ABCDJ123456789012,1,0,1,2,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,8000,NULL,NULL,NULL,1,0,0,MR,STEVE,NULL,LOLLY,NULL,1965-03-08 00:00:00.000,156 TEST STREET,TEST TOWN,NULL,NULL,X9 3ER,5734168,223998807,Test Data Factoring,FC,Factoring,11
61,2018-06-27 00:00:00.000,1236,2347,1236,2347,ABCDK123456789012 1,ABCDK123456789012,1,1,0,3,2018-05-27 00:00:00.000,2018-06-27 00:00:00.000,300,3000,3,30,1,0,0,MR,TOMMY,NULL,COOKSON,NULL,1966-03-24 00:00:00.000,1 TWO ACRES CLOSE,TEST TOWN,NULL,NULL,X9 7JD,5734168,187056531,Test Data Finance Housing,FH,Finance Housing,12
61,2016-06-22 13:48:56.313,7777,7777,7777,7777,ACC01933567890145 1,ACC01933567890123,1,1,1,4,2016-06-22 13:48:56.313,2016-06-22 07:55:09.053,100,10000,2,12,2,1,1,NULL,GLENDA,NULL,BURMESE,NULL,1962-06-15 00:00:00.000,608 ALLEY CAT LANE,NULL,NULL,NULL,x9 9aa,5734168,148488406,Wonga,FN,Finance House,2
61,2016-04-14 15:20:58.240,3333,3333,3333,3333,ADC25623567890123 1,ADC25623567890123,0,1,0,3,2016-04-14 15:20:58.240,2016-04-14 15:20:58.240,-1567,3000,6,500,2,0,0,NULL,OSCAR,NULL,MANX,NULL,1956-01-02 00:00:00.000,606 ALLEY CAT LANE,Addrline2,Addrline3,Addrline4,X9 9AA,5925834,148488404,LENDER 3,FN,Finance House,4
61,2018-02-15 00:00:00.000,4444,4447,4444,4444,AWC01933567890123 1,AWC01933567890123,1,1,1,11,2018-02-15 00:00:00.000,2016-04-14 15:20:58.240,100,10000,2,12,2,1,1,NULL,GLENDA,NULL,MANX,NULL,1962-06-11 00:00:00.000,606 ALLEY CAT LANE,NULL,NULL,NULL,X9 9AA,5925834,148488407,Wonga,FN,Finance House,1
